ts,set_idx,rep_idx,state,live_up_norm,live_cadence,last_down_vel_deg_s,last_up_vel_deg_s,cycle_s,idle_top_s,depth_min_knee_deg,mot_live,mot_live_label,mot_rep,mot_rep_label
1757724029.019,1,0,TOP,-0.0881,0.67,0.00,0.00,,,,0.7,Demotivated,,
1757724029.315,1,0,TOP,0.1141,0.67,0.00,0.00,,,,0.7,Demotivated,,
1757724029.616,1,0,TOP,-0.0000,0.67,0.00,0.00,,,,0.7,Demotivated,,
1757724029.915,1,0,TOP,-0.0361,0.66,0.00,0.00,,,,0.7,Demotivated,,
1757724030.223,1,0,TOP,-0.0000,0.66,0.00,0.00,,,,0.7,Demotivated,,
1757724030.507,1,0,TOP,0.0340,0.66,0.00,0.00,,,,0.7,Demotivated,,
1757724030.812,1,0,TOP,-0.0000,0.66,0.00,0.00,,,,0.7,Demotivated,,
1757724031.110,1,0,TOP,0.1007,0.66,0.00,0.00,,,,0.7,Demotivated,,
1757724031.409,1,0,TOP,0.1130,0.66,0.00,0.00,,,,0.7,Demotivated,,
1757724031.698,1,0,TOP,-0.0326,0.66,0.00,0.00,,,,0.7,Demotivated,,
1757724032.004,1,0,TOP,-0.0000,0.65,0.00,0.00,,,,0.7,Demotivated,,
1757724032.310,1,0,TOP,-0.0636,0.65,0.00,0.00,,,,0.7,Demotivated,,
1757724032.610,1,0,TOP,0.0273,0.65,0.00,0.00,,,,0.7,Demotivated,,
1757724032.900,1,0,TOP,-0.0321,0.65,0.00,0.00,,,,0.7,Demotivated,,
1757724033.201,1,0,TOP,-0.0000,0.65,0.00,0.00,,,,0.6,Demotivated,,
1757724033.506,1,0,TOP,-0.0323,0.65,0.00,0.00,,,,0.6,Demotivated,,
1757724033.816,1,0,TOP,-0.0814,0.65,0.00,0.00,,,,0.6,Demotivated,,
1757724034.098,1,0,TOP,-0.0000,0.65,0.00,0.00,,,,0.6,Demotivated,,
1757724034.401,1,0,TOP,0.0343,0.64,0.00,0.00,,,,0.6,Demotivated,,
1757724034.708,1,0,TOP,-0.3618,0.64,0.00,0.00,,,,0.6,Demotivated,,
1757724035.010,1,0,TOP,0.0269,0.64,0.00,0.00,,,,0.6,Demotivated,,
1757724035.298,1,0,DESCENT,-0.2285,0.64,0.00,0.00,,,,0.6,Demotivated,,
1757724035.605,1,0,DESCENT,0.1369,0.64,0.00,0.00,,,,0.6,Demotivated,,
1757724035.907,1,0,DESCENT,-0.1424,0.64,0.00,0.00,,,,0.6,Demotivated,,
1757724036.210,1,0,DESCENT,0.0974,0.64,0.00,0.00,,,,0.6,Demotivated,,
1757724279.372,1,0,TOP,0.1366,1.02,0.00,0.00,,,,1.0,Demotivated,,
1757724279.548,1,0,DESCENT,-0.0376,1.01,0.00,0.00,,,,1.0,Demotivated,,
1757724279.723,1,0,DESCENT,-0.1860,1.00,0.00,0.00,,,,1.0,Demotivated,,
1757724279.917,1,0,DESCENT,0.0952,0.98,0.00,0.00,,,,1.0,Demotivated,,
1757724280.091,1,0,DESCENT,0.3827,0.97,0.00,0.00,,,,1.0,Demotivated,,
1757724280.267,1,0,DESCENT,0.3611,0.96,0.00,0.00,,,,1.0,Demotivated,,
1757724280.446,1,0,DESCENT,0.8764,0.95,0.00,0.00,,,,1.0,Demotivated,,
1757724280.636,1,0,DESCENT,0.0445,0.94,0.00,0.00,,,,1.0,Demotivated,,
1757724280.811,1,0,DESCENT,0.0487,0.93,0.00,0.00,,,,1.0,Demotivated,,
1757724280.993,1,0,DESCENT,-0.0000,0.92,0.00,0.00,,,,1.0,Demotivated,,
1757724281.164,1,0,DESCENT,0.3622,0.91,0.00,0.00,,,,1.0,Demotivated,,
1757724281.356,1,0,DESCENT,0.1347,0.90,0.00,0.00,,,,1.0,Demotivated,,
1757724281.532,1,0,DESCENT,0.3474,0.89,0.00,0.00,,,,1.0,Demotivated,,
1757724281.707,1,0,DESCENT,-0.3710,0.88,0.00,0.00,,,,1.0,Demotivated,,
1757724281.884,1,0,DESCENT,-2.1256,0.88,0.00,0.00,,,,1.0,Demotivated,,
1757724282.076,1,0,DESCENT,-1.7850,0.87,0.00,0.00,,,,1.0,Demotivated,,
1757724282.252,1,0,BOTTOM,1.3735,0.86,9.86,0.00,,,,1.0,Demotivated,,
1757724282.428,1,0,ASCENT,1.9079,0.85,9.86,0.00,,,,50.0,Demotivated,,
